68 	 0 	 105 	 71
320 	 911 	 8310 	 3038
723 	 67059 	 564 	 536
1291 	 72181 	 1267 	 918
1373 	 83042 	 91 	 54
1617 	 83822 	 572 	 544
1855 	 88884 	 6425 	 3031
2207 	 140091 	 1101 	 560
2399 	 148979 	 2 	 2
2602 	 149006 	 17 	 17
3690 	 149155 	 1 	 1
3709 	 149171 	 1 	 1
3955 	 149187 	 61 	 57
4115 	 149747 	 1049 	 853
4207 	 158883 	 1599 	 1174
5172 	 172077 	 3735 	 2252
6045 	 203173 	 625 	 613
6130 	 208808 	 646 	 459
6256 	 214270 	 494 	 337
6498 	 218400 	 925 	 370
7110 	 225809 	 1246 	 854
8349 	 236403 	 3179 	 1241
9462 	 261509 	 735 	 395
9473 	 267416 	 1925 	 969
9490 	 282967 	 998 	 579
9747 	 291207 	 647 	 436
9873 	 296706 	 512 	 370
10177 	 301077 	 6279 	 2218
10931 	 351578 	 141 	 110
10967 	 352877 	 603 	 578
11950 	 358272 	 1 	 1
12107 	 358289 	 1259 	 1045
12487 	 369261 	 1448 	 762
12617 	 381537 	 376 	 241
12850 	 384690 	 160 	 123
13149 	 386067 	 1233 	 697
13736 	 396076 	 2886 	 754
13763 	 418981 	 365 	 301
14009 	 422185 	 3175 	 1821
14040 	 448736 	 654 	 558
14485 	 454447 	 1164 	 983
14493 	 464487 	 3493 	 3225
14623 	 494193 	 1033 	 866
14768 	 503201 	 5862 	 2406
15704 	 549779 	 1098 	 752
15738 	 558853 	 1 	 1
15940 	 558870 	 3680 	 1743
16288 	 588262 	 1329 	 803
16503 	 599113 	 4108 	 2013
16783 	 631426 	 6 	 2
16934 	 631482 	 1747 	 1220
17372 	 645927 	 1266 	 1102
17659 	 656917 	 3920 	 1666
17687 	 688283 	 795 	 602
18918 	 695082 	 3269 	 2131
19763 	 721884 	 3880 	 1781
19885 	 753060 	 4298 	 1630
20291 	 788103 	 518 	 246
20293 	 792337 	 3334 	 1602
20313 	 819225 	 1816 	 761
20519 	 833731 	 1083 	 650
21171 	 842626 	 6956 	 3773
21310 	 899611 	 2221 	 1379
21342 	 917969 	 2177 	 1201
21440 	 935506 	 848 	 781
21477 	 942986 	 1253 	 733
21572 	 953239 	 69 	 53
21770 	 953856 	 2373 	 1752
21933 	 974226 	 122 	 107
23774 	 975341 	 196 	 104
23912 	 976978 	 349 	 240
24240 	 979959 	 2006 	 1325
24311 	 996922 	 3300 	 2024
24364 	 1023178 	 2835 	 1822
24372 	 1045888 	 3603 	 1510
24408 	 1074902 	 8612 	 5305
24991 	 1145082 	 1957 	 1549
25361 	 1161670 	 902 	 784
26135 	 1169480 	 16 	 15
26509 	 1169641 	 614 	 576
26928 	 1175087 	 4627 	 952
27377 	 1212327 	 207 	 161
27733 	 1214142 	 26553 	 6639
28199 	 1419091 	 2557 	 1130
28231 	 1439606 	 586 	 332
28333 	 1444476 	 99 	 57
28454 	 1445325 	 3 	 3
28469 	 1445363 	 1183 	 1016
28616 	 1455684 	 3430 	 1962
28726 	 1483846 	 4441 	 1669
29189 	 1519114 	 56 	 37
29517 	 1519625 	 2469 	 910
29981 	 1539391 	 4468 	 981
30140 	 1574721 	 137 	 107
30146 	 1575932 	 102 	 55
30496 	 1576784 	 586 	 417
32029 	 1581812 	 1150 	 801
32057 	 1591352 	 1590 	 939
32170 	 1604586 	 1448 	 751
32317 	 1616054 	 1900 	 894
32377 	 1631361 	 4369 	 2550
33022 	 1666588 	 705 	 468
33387 	 1672422 	 3337 	 3026
33760 	 1700732 	 1858 	 1133
34700 	 1715760 	 169 	 144
34939 	 1717304 	 747 	 585
35054 	 1723774 	 880 	 786
35098 	 1731165 	 545 	 240
35238 	 1735631 	 1231 	 594
35887 	 1745764 	 279 	 192
36490 	 1748176 	 756 	 721
36517 	 1754806 	 2339 	 989
36797 	 1773846 	 762 	 761
36812 	 1780694 	 54 	 34
37252 	 1781184 	 206 	 123
37357 	 1782902 	 2971 	 2160
37467 	 1807396 	 1 	 1
37504 	 1807413 	 1841 	 1157
37584 	 1822393 	 738 	 621
38158 	 1828661 	 135 	 81
38938 	 1829824 	 4394 	 2752
38952 	 1865213 	 229 	 177
39475 	 1867209 	 1 	 1
40373 	 1867226 	 2206 	 1882
40713 	 1886068 	 1287 	 619
41305 	 1896318 	 10139 	 2647
41465 	 1974068 	 566 	 349
41607 	 1978840 	 240 	 188
41799 	 1980965 	 842 	 653
41824 	 1988062 	 3698 	 2249
41912 	 2018453 	 3710 	 2101
792 	 2048514 	 1 	 1
1009 	 2048528 	 151 	 114
1424 	 2049846 	 293 	 170
2128 	 2052330 	 230 	 161
3376 	 2054297 	 63 	 38
3441 	 2054865 	 303 	 198
4203 	 2057465 	 53 	 32
